Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide;Ozon

Dez 2010;27;;23;4;28;31
Jan 2011;18;;18;2;21;35
Feb 2011;40;;16;2;18;52
Mär 2011;31;;20;3;24;53
Apr 2011;23;;12;1;14;73
Mai 2011;17;;9;1;11;81
Jun 2011;13;;8;1;9;73
Jul 2011;11;;8;1;9;60
Aug 2011;15;;9;1;10;58
Sep 2011;16;;13;3;18;43
Okt 2011;20;;15;3;19;33
Nov 2011;42;;19;5;27;21
Dez 2011;10;;14;1;15;39
Jan 2012;20;;17;2;20;38
Feb 2012;25;;21;4;27;39
Mär 2012;23;;17;2;19;53
Apr 2012;17;;10;1;12;72
Mai 2012;17;;8;1;9;79
Jun 2012;14;;8;1;9;70
Jul 2012;16;;8;1;9;64
Aug 2012;17;;10;1;12;61
Sep 2012;14;;13;1;15;49
Okt 2012;16;;14;3;19;35
Nov 2012;19;;18;4;23;26
Dez 2012;23;;21;3;25;41
Jan 2013;23;;14;1;16;43
Feb 2013;27;;14;1;16;47
Mär 2013;24;;15;1;17;74
Apr 2013;22;;12;1;14;74
Mai 2013;17;;9;1;10;69
Jun 2013;16;;6;1;7;72
Jul 2013;18;;9;1;9;70
Aug 2013;19;;11;1;13;64
Sep 2013;13;;12;2;16;43
Okt 2013;19;;13;2;16;34
Nov 2013;15;;19;3;22;28
Dez 2013;14;;17;4;24;30
Jan 2014;31;;15;1;17;32
Feb 2014;20;;15;1;17;43
Mär 2014;31;;17;2;20;48
Apr 2014;22;;9;1;11;66
Mai 2014;14;;6;1;7;69
Jun 2014;15;;7;1;8;66
Jul 2014;22;;8;1;9;74
Aug 2014;15;;11;1;12;64
Sep 2014;24;;12;1;14;53
Okt 2014;24;;15;3;20;30
Nov 2014;31;;16;4;22;20
Dez 2014;20;;16;3;20;35
Jan 2015;17;;13;1;14;44
Feb 2015;25;;17;2;20;42
Mär 2015;23;;14;1;16;55
Apr 2015;17;;12;1;14;68
Mai 2015;15;;10;1;11;74
Jun 2015;16;;8;1;10;76
Jul 2015;16;;8;1;9;77
Aug 2015;23;;10;1;11;90
Sep 2015;13;;12;2;14;53
Okt 2015;34;;18;4;24;30
Nov 2015;18;;17;6;26;33
Dez 2015;16;;16;2;18;34
Jan 2016;28;;20;3;24;30
Feb 2016;17;;14;1;15;48
Mär 2016;23;;15;2;18;49
Apr 2016;17;;12;1;14;65
Mai 2016;20;;8;1;9;83
Jun 2016;17;;8;1;9;71
Jul 2016;14;;9;1;10;65
Aug 2016;13;;10;1;12;56
Sep 2016;16;;12;1;14;66
Okt 2016;15;;12;2;15;24
Nov 2016;19;;19;4;25;24
Dez 2016;17;;23;5;31;25
Jan 2017;22;20;21;3;25;34
Feb 2017;30;28;17;1;19;45
Mär 2017;16;13;14;2;17;55
Apr 2017;14;11;12;1;14;65
Mai 2017;16;11;8;1;10;72
Jun 2017;12;8;8;1;9;67
Jul 2017;12;9;8;1;9;58
Aug 2017;13;8;9;1;10;62
Sep 2017;15;11;11;2;14;43
Okt 2017;14;10;13;2;16;37
Nov 2017;16;13;16;2;19;31
Dez 2017;14;12;16;3;20;34
Jan 2018;17;14;13;1;15;39
Feb 2018;25;21;15;2;17;46
Mär 2018;27;23;15;1;17;54
Apr 2018;19;15;10;1;12;72
Mai 2018;20;12;7;1;8;85
Jun 2018;17;11;8;1;8;76
Jul 2018;16;9;8;1;9;78
Aug 2018;16;9;9;1;10;82
Sep 2018;16;9;11;1;12;63
Okt 2018;21;14;15;3;19;47
Nov 2018;27;23;15;4;21;23
Dez 2018;14;12;14;1;15;31
Jan 2019;17;14;13;1;14;43
Feb 2019;23;19;22;3;26;37
Mär 2019;13;10;10;1;12;60
Apr 2019;22;15;7;1;8;82
Mai 2019;13;9;7;1;8;69
Jun 2019;16;10;6;0;7;92
Jul 2019;15;8;7;1;8;66
Aug 2019;15;9;8;1;10;75
Sep 2019;13;8;11;1;12;54
Okt 2019;15;10;12;3;16;36
Nov 2019;20;16;14;1;16;21
Dez 2019;14;11;15;1;17;32
Jan 2020;14;12;15;1;16;38
Feb 2020;9;7;10;1;11;57
Mär 2020;17;13;10;1;11;62
Apr 2020;17;10;8;1;9;78
Mai 2020;11;7;7;1;8;70
Jun 2020;14;9;5;1;6;73
Jul 2020;12;7;6;1;7;58
Aug 2020;15;10;7;1;8;73
Sep 2020;14;9;10;2;13;52
Okt 2020;12;9;9;1;10;36
Nov 2020;17;14;13;1;15;28
Dez 2020;21;18;12;1;14;24
Jan 2021;13;11;11;1;13;35
Feb 2021;22;17;15;2;18;44
Mär 2021;17;13;13;2;16;55
Apr 2021;14;10;8;1;10;70
Mai 2021;10;7;6;1;7;70
Jun 2021;17;11;6;1;7;80
Jul 2021;17;10;6;1;7;59
Aug 2021;11;7;6;1;7;57
Sep 2021;15;11;8;1;9;48
Okt 2021;14;11;10;1;11;44
Nov 2021;15;13;12;1;14;31
Dez 2021;18;15;15;1;17;29
Jan 2022;14;11;12;2;13;45
Feb 2022;10;7;7;2;8;61
Mär 2022;23;18;10;2;13;63
Apr 2022;13;9;6;2;6;71
Mai 2022;14;8;5;2;6;76
Jun 2022;13;8;5;2;6;80
Jul 2022;12;6;5;2;6;73
Aug 2022;15;9;6;2;7;71
Sep 2022;11;7;8;2;9;49
Okt 2022;15;10;10;2;13;31
Nov 2022;19;16;12;2;15;25
